W72_ID,Geography,District,CensusWard,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,pop_change_pct
omagh--newtownsaville,NEWTOWNSAVILLE,OMAGH,Newtownsaville,1801,955,846,1830,953,877,1.6
omagh--owenglen,OWENGLEN,OMAGH,Owenglen,1698,896,802,1407,716,691,-17.1
omagh--sixmilecross,SIXMILECROSS,OMAGH,Sixmilecross,1980,1036,944,1603,852,751,-19.0
omagh--strule,STRULE,OMAGH,Strule,2407,1191,1216,1869,898,971,-22.4
omagh--trillick,TRILLICK,OMAGH,Trillick,2167,1143,1024,2033,1055,978,-6.2
omagh--west,WEST,OMAGH,West,2586,1279,1307,3481,1726,1755,34.6
strabane--artigarvan,ARTIGARVAN,STRABANE,Artigarvan,2380,1215,1165,2387,1214,1173,0.3
strabane--castlederg,CASTLEDERG,STRABANE,Castlederg,2486,1202,1284,3026,1479,1547,21.7
strabane--clare,CLARE,STRABANE,Clare,2356,1205,1151,2193,1125,1068,-6.9
strabane--dunnamanagh,DUNNAMANAGH,STRABANE,Dunnamanagh,2242,1142,1100,2199,1120,1079,-1.9
strabane--east,EAST,STRABANE,East,2531,1214,1317,2367,1183,1184,-6.5
strabane--finn,FINN,STRABANE,Finn,2330,1163,1167,2258,1142,1116,-3.1
strabane--glenderg,GLENDERG,STRABANE,Glenderg,2125,1139,986,1787,978,809,-15.9
strabane--newtownstewart,NEWTOWNSTEWART,STRABANE,Newtownstewart,2398,1202,1196,2239,1118,1121,-6.6
strabane--north,NORTH,STRABANE,North,1908,893,1015,1558,748,810,-18.3
strabane--plumbridge,PLUMBRIDGE,STRABANE,Plumbridge,2145,1137,1008,1842,999,843,-14.1
strabane--sion-mills,SION MILLS,STRABANE,Sion Mills,2136,1044,1092,2404,1226,1178,12.5
strabane--slievekirk,SLIEVEKIRK,STRABANE,Slievekirk,2245,1188,1057,2078,1088,990,-7.4
strabane--south,SOUTH,STRABANE,South,3010,1487,1523,3925,1939,1986,30.4
strabane--victoria-bridge,VICTORIA BRIDGE,STRABANE,Victoria Bridge,2014,1051,963,1751,918,833,-13.1
strabane--west,WEST,STRABANE,West,2058,971,1087,2898,1392,1506,40.8
