W72_ID,Geography,District,CensusWard,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,pop_change_pct
ballymoney--killoquin-lower,KILLOQUIN LOWER,BALLYMONEY,Killoquin Lower,1630,831,799,1400,694,706,-14.1
ballymoney--killoquin-upper,KILLOQUIN UPPER,BALLYMONEY,Killoquin Upper,1385,667,718,1418,717,701,2.4
ballymoney--kilraghts,KILRAGHTS,BALLYMONEY,Kilraghts,1142,586,556,1063,567,496,-6.9
ballymoney--newhill,NEWHILL,BALLYMONEY,Newhill,1676,783,893,2001,941,1060,19.4
ballymoney--seacon,SEACON,BALLYMONEY,Seacon,1396,700,696,1479,741,738,5.9
ballymoney--stranocum,STRANOCUM,BALLYMONEY,Stranocum,1165,602,563,1050,544,506,-9.9
ballymoney--the-hills,THE HILLS,BALLYMONEY,The Hills,1289,602,687,1593,749,844,23.6
ballymoney--the-vow,THE VOW,BALLYMONEY,The Vow,1379,730,649,1306,686,620,-5.3
ballymoney--town-parks,TOWN PARKS,BALLYMONEY,Town Parks,1729,846,883,2534,1253,1281,46.6
banbridge--annaclone,ANNACLONE,BANBRIDGE,Annaclone,1825,947,878,1509,778,731,-17.3
banbridge--balloolymore,BALLOOLYMORE,BANBRIDGE,Balloolymore,1720,870,850,1676,841,835,-2.6
banbridge--ballydown,BALLYDOWN,BANBRIDGE,Ballydown,2081,1015,1066,2693,1317,1376,29.4
banbridge--central,CENTRAL,BANBRIDGE,Central,2399,1121,1278,2764,1315,1449,15.2
banbridge--croob,CROOB,BANBRIDGE,Croob,1750,903,847,1646,839,807,-5.9
banbridge--dromore,DROMORE,BANBRIDGE,Dromore,2316,1115,1201,2177,1053,1124,-6.0
banbridge--drumadonnell,DRUMADONNELL,BANBRIDGE,Drumadonnell,1501,729,772,1265,622,643,-15.7
banbridge--edenderry,EDENDERRY,BANBRIDGE,Edenderry,2256,1096,1160,2897,1462,1435,28.4
banbridge--garran,GARRAN,BANBRIDGE,Garran,1709,889,820,1500,769,731,-12.2
banbridge--gilford,GILFORD,BANBRIDGE,Gilford,2086,1069,1017,1925,973,952,-7.7
banbridge--lawrencetown,LAWRENCETOWN,BANBRIDGE,Lawrencetown,1603,807,796,1685,849,836,5.1
banbridge--loughbrickland,LOUGHBRICKLAND,BANBRIDGE,Loughbrickland,2056,1034,1022,2240,1141,1099,8.9
banbridge--quilly,QUILLY,BANBRIDGE,Quilly,1607,817,790,1717,855,862,6.8
banbridge--seapatrick,SEAPATRICK,BANBRIDGE,Seapatrick,2048,1007,1041,2496,1187,1309,21.9
banbridge--skeagh,SKEAGH,BANBRIDGE,Skeagh,1731,879,852,1641,821,820,-5.2
belfast--andersonstown,ANDERSONSTOWN,BELFAST,Andersonstown,8433,4197,4236,6422,3097,3325,-23.8
belfast--ardoyne,ARDOYNE,BELFAST,Ardoyne,9547,4561,4986,5869,2803,3066,-38.5
belfast--ballygomartin,BALLYGOMARTIN,BELFAST,Ballygomartin,7734,3667,4067,8409,3999,4410,8.7
belfast--ballyhackamore,BALLYHACKAMORE,BELFAST,Ballyhackamore,7493,3404,4089,6415,2908,3507,-14.4
belfast--ballymacarrett,BALLYMACARRETT,BELFAST,Ballymacarrett,8743,4197,4546,4450,2080,2370,-49.1
belfast--ballynafeigh,BALLYNAFEIGH,BELFAST,Ballynafeigh,6674,3085,3589,5220,2365,2855,-21.8
belfast--ballysillan,BALLYSILLAN,BELFAST,Ballysillan,8181,3964,4217,5937,2898,3039,-27.4
belfast--bellevue,BELLEVUE,BELFAST,Bellevue,7530,3597,3933,6249,2965,3284,-17.0
belfast--belmont,BELMONT,BELFAST,Belmont,8948,4167,4781,7805,3655,4150,-12.8
belfast--bloomfield,BLOOMFIELD,BELFAST,Bloomfield,6455,3030,3425,5475,2593,2882,-15.2
belfast--castleview,CASTLEVIEW,BELFAST,Castleview,7653,3616,4037,6725,3167,3558,-12.1
belfast--cavehill,CAVEHILL,BELFAST,Cavehill,8430,3972,4458,8136,3853,4283,-3.5
