district,census_ward,ward_1972,match,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females
Lisburn,Drumbo,DRUMBO,exact,2220,1125,1095,2566,1275,1291
Lisburn,Dunmurry,DUNMURRY,exact,3129,1480,1649,3061,1447,1614
Lisburn,Glenavy,GLENAVY,exact,2360,1174,1186,2405,1174,1231
Lisburn,Hilden,HILDEN,exact,3546,1701,1845,2520,1245,1275
Lisburn,Hillhall,HILLHALL,exact,2851,1340,1511,3752,1792,1960
Lisburn,Hillsborough,HILLSBOROUGH,exact,2309,1159,1150,2536,1228,1308
Lisburn,Knockmore,KNOCKMORE,exact,3948,1940,2008,3566,1761,1805
Lisburn,Lagan Valley,LAGAN VALLEY,exact,3366,1588,1778,2429,1170,1259
Lisburn,Lambeg,LAMBEG,exact,3008,1448,1560,3804,1820,1984
Lisburn,Lisnagarvy,LISNAGARVY,exact,4574,2405,2169,7294,3515,3779
Lisburn,Magheragall,MAGHERAGALL,exact,2467,1214,1253,2499,1275,1224
Lisburn,Magheralave,MAGHERALAVE,exact,4619,2282,2337,7857,4612,3245
Lisburn,Maze,MAZE,exact,3390,2078,1312,3436,2023,1413
Lisburn,Moira,MOIRA,exact,2334,1162,1172,2914,1452,1462
Lisburn,Old Warren,OLD WARREN,exact,3986,1977,2009,4230,2051,2179
Lisburn,Seymour Hill,SEYMOUR HILL,exact,4097,1966,2131,3438,1644,1794
Lisburn,Tonagh,TONAGH,exact,3044,1422,1622,2682,1211,1471
Lisburn,TuUyrusk,TULLYRUSK,similar-in-district,2319,1176,1143,3872,1922,1950
Londonderry,Altnageivin,ALTNAGELVIN,similar-in-district,3618,1706,1912,6699,3160,3539
Londonderry,Banagher,BANAGHER,exact,2614,1350,1264,2487,1290,1197
Londonderry,Beechwood,BEECHWOOD,exact,3344,1644,1700,2546,1172,1374
Londonderry,Brandywell,BRANDYWELL,exact,2978,1549,1429,1642,805,837
Londonderry,Caw,CAW,exact,4415,2376,2039,5778,2979,2799
Londonderry,Claudy,CLAUDY,exact,2507,1266,1241,2512,1275,1237
Londonderry,Clondermot,CLONDERMOT,exact,3213,1551,1662,2594,1285,1309
Londonderry,Creggan Central,CREGGAN CENTRAL,exact,3163,1583,1580,2596,1320,1276
Londonderry,Creggan South,CREGGAN SOUTH,exact,3351,1632,1719,1951,992,959
Londonderry,Crevagh,CREVAGH,exact,4648,2331,2317,2434,1242,1192
Londonderry,Culmore,CULMORE,exact,4580,2308,2272,4918,2489,2429
Londonderry,Ebrington,EBRINGTON,exact,2293,1044,1249,1025,471,554
Londonderry,Eglinton,EGLINTON,exact,2748,1410,1338,2669,1367,1302
Londonderry,Enagh,ENAGH,exact,3760,1928,1832,2704,1399,1305
Londonderry,Faughan,FAUGHAN,exact,3221,1830,1391,4149,2110,2039
Londonderry,Pennyburn,PENNYBURN,exact,2935,1376,1559,3359,1628,1731
Londonderry,Prehen,PREHEN,exact,2662,1324,1338,4222,2089,2133
Londonderry,Riverside,RIVERSIDE,exact,2727,1230,1497,1491,676,815
Londonderry,Rosemount,ROSEMOUNT,exact,2872,1414,1458,2286,1136,1150
Londonderry,St. Coiumb's Wells,ST. COLUMB'S WELLS,similar-in-district,2822,1368,1454,1039,502,537
Londonderry,Shantailow,SHANTALLOW,similar-in-district,4051,1970,2081,11109,5439,5670
Londonderry,Springtown,SPRINGTOWN,exact,2760,1345,1415,3287,1618,1669
Londonderry,Strand,STRAND,exact,2967,1360,1607,2526,1213,1313
Londonderry,The Diamond,THE DIAMOND,exact,2553,1219,1334,1195,533,662
Londonderry,Victoria,VICTORIA,exact,2579,1236,1343,1932,931,1001
Londonderry,Waterloo,WATERLOO,exact,2514,1174,1340,1302,617,685
Londonderry,Westland,WESTLAND,exact,3006,1428,1578,2410,1115,1295
Magherafelt,Ballymaguigan,BALLYMAGUIGAN,exact,2044,1076,968,1635,862,773
Magherafelt,Bellaghy,BELLAGHY,exact,2265,1129,1136,1805,901,904
Magherafelt,Castledawson,CASTLEDAWSON,exact,2325,1188,1137,2376,1190,1186
Magherafelt,Draperstown,DRAPERSTOWN,exact,2247,1091,1156,2351,1159,1192
Magherafelt,Gulladuff,GULLADUFF,exact,1705,925,780,1641,875,766
Magherafelt,Knockcloghrim,KNOCKCLOGHRIM,exact,1963,1027,936,1762,892,870
Magherafelt,Lecumpher,LECUMPHER,exact,2015,1032,983,2052,1041,1011
Magherafelt,Lower Glenshane,LOWER GLENSHANE,exact,2149,1113,1036,1846,935,911
Magherafelt,Maghera,MAGHERA,exact,2368,1169,1199,2836,1404,1432
Magherafelt,Swatragh,SWATRAGH,exact,1698,885,813,1408,724,684
Magherafelt,Tobermore,TOBERMORE,exact,1848,936,912,1661,838,823
Magherafelt,Townparks East,TOWN PARKS EAST,exact,2424,1165,1259,3187,1552,1635
Magherafelt,Townparks West,TOWN PARKS WEST,exact,2280,1094,1186,2358,1151,1207
Magherafelt,Upperlands,UPPERLANDS,exact,2089,1049,1040,1888,949,939
Magherafelt,Valley,VALLEY,exact,2040,1024,1016,1975,993,982
Moyle,Armoy,ARMOY,exact,1051,562,489,1019,527,492
Moyle,Ballintoy,BALLINTOY,exact,763,396,367,708,344,364
Moyle,BalJylough,BALLYLOUGH,similar-in-district,1055,510,545,980,496,484
Moyle,Bushmills,BUSHMILLS,exact,934,468,466,994,499,495
Moyle,Carnmoon,CARNMOON,exact,890,434,456,758,376,382
Moyle,Dalriada,DALRIADA,exact,1155,496,659,1314,616,698
Moyle,Dunseverick,DUNSEVERICK,exact,746,393,353,697,368,329
Moyle,Glenaan,GLENAAN,exact,1148,573,575,1087,544,543
Moyle,Glenariff,GLENARIFF,exact,763,382,381,1060,527,533
Moyle,Glendun,GLENDUN,exact,1003,527,476,1045,531,514
Moyle,Glenshesk,GLENSHESK,exact,1005,527,478,990,505,485
Moyle,Kinbane,KINBANE,exact,786,413,373,728,383,345
Moyle,Knocklayd,KNOCKLAYD,exact,1063,520,543,1368,697,671
Moyle,Moss-side,MOSS-SIDE,exact,703,383,320,679,366,313
Moyle,Quay,QUAY,exact,805,350,455,837,375,462
Moyle,Rathlin,RATHLIN,exact,109,66,43,108,57,51
Newry and Mourne,Annalong,ANNALONG,exact,2155,1073,1082,2500,1253,1247
Newry and Mourne,Ballybot,BALLYBOT,exact,3329,1636,1693,2646,1312,1334
Newry and Mourne,Bally crossan,BALLYCROSSAN,exact,2404,1253,1151,2486,1279,1207
Newry and Mourne,Belleek,BELLEEK,exact,2102,1119,983,1588,825,763
Newry and Mourne,Bessbrook,BESSBROOK,exact,2472,1209,1263,3078,1839,1239
Newry and Mourne,Binnian,BINNIAN,exact,2160,1099,1061,1993,1001,992
Newry and Mourne,Camlough,CAMLOUGH,exact,2102,1097,1005,1941,977,964
Newry and Mourne,Clonallan,CLONALLAN,exact,2685,1319,1366,2981,1464,1517
Newry and Mourne,Cranfield,CRANFIELD,exact,2544,1219,1325,2630,1292,1338
Newry and Mourne,Creggan,CREGGAN,exact,2102,1098,1004,1974,1007,967
Newry and Mourne,Crossmaglen,CROSSMAGLEN,exact,2309,1169,1140,1990,1003,987
Newry and Mourne,Daisy Hill,DAISY HILL,exact,2931,1404,1527,3177,1532,1645
Newry and Mourne,Derrymore,DERRYMORE,exact,2657,1292,1365,2160,1066,1094
Newry and Mourne,Donaghmore,DONAGHMORE,exact,2048,1024,1024,1829,926,903
Newry and Mourne,Drumalane,DRUMALANE,exact,2513,1188,1325,2368,1141,1227
Newry and Mourne,Druqngath,DRUMGATH,similar-in-district,2187,1108,1079,2062,1033,1029
Newry and Mourne,Drumgullion :,DRUMGULLION,exact,3075,1521,1554,2874,1449,1425
Newry and Mourne,Fathom,FATHOM,exact,2498,1282,1216,2636,1338,1298
Newry and Mourne,Forkhill,FORKHILL,exact,2386,1178,1208,2137,1037,1100
Newry and Mourne,Kilkeel,KILKEEL,exact,2885,1378,1507,3840,1808,2032
Newry and Mourne,Lisnacree,LISNACREE,exact,2046,1050,996,2028,1023,1005
Newry and Mourne,Newtownhamilton,NEWTOWNHAMILTON,exact,1936,1028,908,1649,838,811
Newry and Mourne,Rathfriland,RATHFRILAND,exact,2148,1045,1103,2317,1122,1195
Newry and Mourne,Rostrevor,ROSTREVOR,exact,2292,1107,1185,2663,1319,1344
Newry and Mourne,St. Mary's,ST. MARY'S,exact,2604,1190,1414,2562,1232,1330
Newry and Mourne,St. Patrick's,ST. PATRICK'S,exact,2395,1152,1243,2143,1035,1108
Newry and Mourne,Seaview,SEAVIEW,exact,2643,1324,1319,2746,1401,1345
Newry and Mourne,Speiga,SPELGA,similar-in-district,1970,965,1005,1999,1011,988
Newry and Mourne,Tullyhappy,TULLYHAPPY,exact,2084,1069,1015,2115,1069,1046
Newry and Mourne,Windsor Hill,WINDSOR HILL,exact,2706,1287,1419,3503,1704,1799
Newtownabbey,Ballyclare,BALLYCLARE,exact,1999,973,1026,1541,777,764
Newtownabbey,Ballyeaston,BALLYEASTON,exact,2504,1297,1207,3762,1871,1891
Newtownabbey,Ballyhenry,BALLYHENRY,exact,3169,1562,1607,4415,2152,2263
Newtownabbey,Ballynure,BALLYNURE,exact,2196,1093,1103,2102,1049,1053
Newtownabbey,Bradan,BRADAN,exact,3281,1594,1687,2317,1091,1226
Newtownabbey,Carnmoney,CARNMONEY,exact,3290,1670,1620,8099,3948,4151
Newtownabbey,CloughiQrn,CLOUGHFERN,similar-in-district,4326,2148,2178,3723,1819,1904
Newtownabbey,""" Coole",COOLE,exact,3610,1786,1824,2665,1317,1348
Newtownabbey,Doagh,DOAGH,exact,2450,1131,1319,2968,1415,1553
Newtownabbey,Dunanney,DUNANNEY,exact,3736,1822,1914,2728,1312,1416
Newtownabbey,Glengormley,GLENGORMLEY,exact,3784,1863,1921,4453,2190,2263
Newtownabbey,Hopefield,HOPEFIELD,exact,3416,1673,1743,2471,1135,1336
Newtownabbey,Jordanstown,JORDANSTOWN,exact,2913,1402,1511,3890,1878,2012
Newtownabbey,Mallusk,MALLUSK,exact,2089,1046,1043,1961,985,976
Newtownabbey,Monkstown,MONKSTOWN,exact,4461,2492,1969,3674,1779,1895
Newtownabbey,Mossgrove,MOSSGROVE,exact,3247,1602,1645,3185,1562,1623
Newtownabbey,Mossley,MOSSLEY,exact,3220,1559,1661,5321,2561,2760
Newtownabbey,Rostulla,ROSTULLA,exact,2834,1316,1518,3025,1418,1607
Newtownabbey,Whiteabbey,WHITEABBEY,exact,3187,1481,1706,2696,1219,1477
Newtownabbey,Whitehouse,WHITEHOUSE,exact,3346,1598,1748,2831,1337,1494
Newtownabbey,Whitewell,WHITEWELL,exact,3857,1932,1925,4090,2072,2018
North Down,BaJlyhoJme,BALLYHOLME,similar-in-district,2232,907,1325,2246,985,1261
North Down,Ballymagee,BALLYMAGEE,exact,2094,933,1161,7016,3393,3623
North Down,Bangor Castle,BANGOR CASTLE,exact,2023,865,1158,1657,749,908
North Down,Bangor Harbour,BANGOR HARBOUR,exact,2395,1050,1345,2127,962,1165
North Down,Bryansburn,BRYANSBURN,exact,2660,1254,1406,2909,1341,1568
North Down,Churchill,CHURCHILL,exact,2582,1118,1464,2588,1170,1418
North Down,Clandeboye,CLANDEBOYE,exact,3561,1758,1803,4643,2169,2474
North Down,Conlig,CONLIG,exact,2915,1362,1553,7047,3313,3734
North Down,Craigavad,CRAIGAVAD,exact,2203,1053,1150,1961,938,1023
North Down,Crawfordsburn,CRAWFORDSBURN,exact,2248,1045,1203,2904,1375,1529
North Down,Cultra,CULTRA,exact,2403,1148,1255,2767,1361,1406
North Down,Groomsport,GROOMSPORT,exact,2750,1302,1448,4158,1998,2160
North Down,Holy wood Demesne,HOLYWOOD DEMESNE,exact,2239,1031,1208,2201,1010,1191
North Down,Holywood Priory,HOLYWOOD PRIORY,exact,2365,1091,1274,2575,1197,1378
North Down,Loughview,LOUGHVIEW,exact,4460,2380,2080,3797,2120,1677
North Down,Princetown,PRINCETOWN,exact,2146,970,1176,2495,1166,1329
North Down,Rathgael,RATHGAEL,exact,2860,1438,1422,3383,1711,1672
North Down,Silverstream,SILVERSTREAM,exact,2825,1307,1518,2568,1222,1346
North Down,Spring Hill,SPRING HILL,exact,2405,1149,1256,4039,1900,2139
North Down,WhiiehiJl,WHITEHILL,similar-in-district,3245,1628,1617,2611,1252,1359
Omagh,Beragh,BERAGH,exact,2137,1108,1029,2045,1056,989
Omagh,Carrickmore,CARRICKMORE,exact,1951,1026,925,1568,807,761
Omagh,Clanabogan,CLANABOGAN,exact,1792,982,810,1657,858,799
Omagh,Dergmoney,DERGMONEY,exact,1557,745,812,1204,593,611
Omagh,Dromore,DROMORE,exact,2224,1163,1061,2282,1202,1080
Omagh,Drumnakiily,DRUMNAKILLY,similar-in-district,2241,1165,1076,1947,1014,933
Omagh,Drumquin,DRUMQUIN,exact,1982,1049,933,1833,954,879
Omagh,Drumragh,DRUMRAGH,exact,1619,843,776,1672,810,862
Omagh,East,EAST,exact,1921,876,1045,1911,920,991
Omagh,Fairgreen,FAIRGREEN,exact,1904,886,1018,1397,673,724
Omagh,Fairy Water,FAIRY WATER,exact,1814,944,870,1667,877,790
Omagh,Fintona,FINTONA,exact,2227,1105,1122,2298,1142,1156
Omagh,Gorlin,GORTIN,similar-in-district,2033,1036,997,1874,907,967
Omagh,Killyclogher,KILLYCLOGHER,exact,3134,1753,1381,5559,2848,2711
Omagh,Newtownsaville,NEWTOWNSAVILLE,exact,1801,955,846,1830,953,877
Omagh,Owenglen,OWENGLEN,exact,1698,896,802,1407,716,691
Omagh,Sixmilecross,SIXMILECROSS,exact,1980,1036,944,1603,852,751
Omagh,Strule,STRULE,exact,2407,1191,1216,1869,898,971
Omagh,Trillick,TRILLICK,exact,2167,1143,1024,2033,1055,978
Omagh,West,WEST,exact,2586,1279,1307,3481,1726,1755
Strabane,Artigarvan,ARTIGARVAN,exact,2380,1215,1165,2387,1214,1173
Strabane,Castlederg,CASTLEDERG,exact,2486,1202,1284,3026,1479,1547
Strabane,Clare,CLARE,exact,2356,1205,1151,2193,1125,1068
Strabane,Dunnamanagh,DUNNAMANAGH,exact,2242,1142,1100,2199,1120,1079
Strabane,East,EAST,exact,2531,1214,1317,2367,1183,1184
Strabane,Finn,FINN,exact,2330,1163,1167,2258,1142,1116
Strabane,Glenderg,GLENDERG,exact,2125,1139,986,1787,978,809
Strabane,Newtownstewart,NEWTOWNSTEWART,exact,2398,1202,1196,2239,1118,1121
Strabane,North,NORTH,exact,1908,893,1015,1558,748,810
Strabane,Plumbridge,PLUMBRIDGE,exact,2145,1137,1008,1842,999,843
Strabane,Sion Mills,SION MILLS,exact,2136,1044,1092,2404,1226,1178
Strabane,Slievekirk,SLIEVEKIRK,exact,2245,1188,1057,2078,1088,990
Strabane,South,SOUTH,exact,3010,1487,1523,3925,1939,1986
Strabane,Victoria Bridge,VICTORIA BRIDGE,exact,2014,1051,963,1751,918,833
Strabane,West,WEST,exact,2058,971,1087,2898,1392,1506
