,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20002222,30.54065751622691,53.21375878089773,3.5033168301163284,6.4716999297226,2.2582366181451414,4.3422021881516066e-07,1.9152319008492777,6.098528684015549e-07,5.940392235322863e-07,2.136501212494763e-06,2.0970946494285063
N20002223,1.6209906474630602,80.38182102093427,0.5621775327755404,17.24195939303599,0.05933045465671065,2.0961368073785566e-08,0.06154776143008744,7.801160244445393e-08,1.0390951808747647e-07,2.4733458189622097e-07,0.0721727394872556
N20002224,6.186213862658888,72.19749286465056,2.6779075518727353,17.944728333867157,0.5061242494828316,2.6119919944778613e-07,0.2784357165809654,2.5743247765931825e-07,2.79608373372872e-07,2.0173025883236951e-07,0.209096420916567
N20002225,13.299895993120641,52.072948043271325,3.1337429513167083,29.618920059932798,0.9878173863856402,2.4629339606684996e-07,0.4316200005089218,4.597609209364708e-07,5.530907094729879e-07,6.156727218275152e-07,0.45505369064620393
N20002226,33.18382065917729,28.812324305368886,12.439452825379869,22.637905850494345,1.8899716595798774,5.237730368624323e-07,0.3583150276251228,2.185333188318479e-07,3.1451009009705964e-07,5.585247882845002e-07,0.6782080570333725
N20002227,43.911763741285895,23.4362616314674,13.812823231048238,7.324486341934058,6.7720195891801245,1.8315844183829518e-06,2.57960708210417,5.228490696752829e-07,7.044973107907493e-07,1.4640187990542067e-06,2.163033860030522
N20002228,6.960469004388714,58.13193175779807,2.3655958862864215,30.331110123932437,1.0922340985007215,1.3908913032210413e-07,0.6484305227217496,2.2449739726168293e-07,4.1356229267671305e-07,4.201493163124717e-07,0.4702274090737415
N20002229,12.327611777294942,72.13002850821559,0.7395285218084496,5.480024400176307,7.212427569182693,5.3817261875940546e-08,1.4406510283289886,8.89690918890034e-08,5.220115632564306e-07,9.65477141063003e-07,0.6697265647179667
N20002230,39.239542588097216,22.975621057854685,10.889037015779111,16.435631810943054,7.263792102001741,8.974354011220426e-07,2.0138396979280144,5.051234548890182e-07,8.464269911038575e-07,1.399214971892185e-06,1.1825320791953662
N20002231,11.289500464202195,75.5333262686041,1.9189856943714765,9.56476440124159,0.9137627540212521,1.7724219180717745e-07,0.4008956996034107,1.6006176936997147e-07,3.754258971913847e-07,5.357446694038931e-07,0.3787634694814421
